date,platform,sentiment,keyword,share_of_voice,influencer,engagement
2024-04-04,Twitter,Neutral,feedback,33,Juan Ramirez,159
2024-05-14,Twitter,Negative,service,47,Mark Bell,496
2024-04-13,Instagram,Positive,#okay,27,Janice Conrad,117
2024-01-19,LinkedIn,Neutral,#okay,28,Annette Jensen,482
2024-03-08,Twitter,Positive,#bad,88,Erica Taylor,53
2024-03-21,LinkedIn,Neutral,#good,49,David Schmitt,762
2024-03-18,Facebook,Positive,#awesome,43,Lindsay Taylor,449
2024-03-17,Instagram,Positive,#bad,19,Alyssa Kelly,185
2024-03-23,Instagram,Neutral,#bad,64,Ernest Kramer,42
2024-02-16,LinkedIn,Neutral,#great,75,Nicholas Benton,958
2024-01-05,Twitter,Positive,#bad,81,Douglas Ochoa,452
2024-02-15,Facebook,Positive,feedback,44,Marcus Clay,209
2024-02-07,LinkedIn,Neutral,#bad,91,Michael King,123
2024-04-04,Facebook,Positive,#terrible,58,Amanda Dickson,744
2024-04-11,Instagram,Negative,experience,99,Felicia York,984
2024-01-23,Twitter,Positive,#okay,27,Christine Jackson,659
2024-01-03,Instagram,Neutral,#terrible,98,Anthony Armstrong,307
2024-02-08,Instagram,Negative,#good,61,Timothy Grant,356
2024-02-15,LinkedIn,Positive,feedback,69,Kendra Solomon,477
2024-01-25,Instagram,Negative,product,77,Tammy Lopez,954
2024-04-18,Twitter,Neutral,service,9,Stephen Pacheco,188
2024-04-19,Facebook,Negative,#awesome,55,Michael Lewis,579
2024-02-04,Facebook,Negative,service,50,Amanda Hicks,323
2024-04-12,Instagram,Positive,feedback,43,Anthony Maldonado,265
2024-03-03,LinkedIn,Negative,#awesome,84,Traci Garner,490
2024-04-16,Twitter,Positive,experience,79,Valerie Byrd,548
2024-02-13,Facebook,Positive,#great,41,Randy Olson,688
2024-03-28,Facebook,Neutral,#bad,61,Dr. Philip Blanchard,652
2024-03-25,Twitter,Negative,experience,71,Matthew Phillips,131
2024-03-19,LinkedIn,Neutral,service,80,Mr. Casey Ward,523
2024-04-25,Twitter,Negative,#great,41,Carl Bryan,608
2024-05-14,Instagram,Negative,feedback,82,Denise Choi,746
2024-04-09,LinkedIn,Neutral,#awesome,62,Brian Martinez,229
2024-01-07,LinkedIn,Negative,#good,4,Ricardo Mitchell,986
2024-03-09,Instagram,Positive,product,28,Andrea Rodriguez,676
2024-02-23,Twitter,Positive,#awesome,29,Abigail Dunn,908
2024-01-30,Instagram,Negative,#okay,9,Stacey Banks,598
2024-03-30,Twitter,Positive,product,29,John Gray,288
2024-02-16,Twitter,Positive,#awesome,88,Amanda Morrow,783
2024-01-03,Facebook,Positive,service,40,Johnny Peters,866
2024-05-03,LinkedIn,Negative,#terrible,78,Erin Dunn,768
2024-03-20,Instagram,Negative,#okay,4,Thomas Hunter,274
2024-03-25,Instagram,Positive,experience,26,Bradley Vang,477
2024-01-08,Instagram,Neutral,#okay,10,Phillip Manning,251
2024-01-21,LinkedIn,Positive,feedback,3,Mark Jackson,370
2024-02-10,LinkedIn,Positive,service,46,Stacy Cordova,508
2024-03-30,LinkedIn,Neutral,product,88,Sierra Turner,147
2024-05-05,LinkedIn,Neutral,product,2,Brandi Marquez,807
2024-05-18,Twitter,Neutral,#awesome,16,Elizabeth Chavez,705
2024-05-17,Facebook,Neutral,#great,10,Nicole Burns,565
2024-03-08,LinkedIn,Positive,#great,48,Lacey Bradley,14
2024-02-09,Instagram,Positive,#okay,79,Carol Gay,619
2024-02-12,Facebook,Neutral,#terrible,27,Shelly Pena,791
2024-02-11,Facebook,Negative,#bad,30,Kayla Torres,833
2024-05-22,LinkedIn,Positive,#good,32,Ronald Peterson,618
2024-05-01,LinkedIn,Positive,#good,19,Kristin Brown,802
2024-03-22,Facebook,Neutral,#good,60,Shane Baxter,577
2024-05-19,Twitter,Positive,feedback,64,Tara Lin,202
2024-04-17,LinkedIn,Positive,#okay,35,Nicole Molina,533
2024-05-10,Instagram,Neutral,feedback,56,Christina Rhodes,955
2024-05-19,LinkedIn,Neutral,#terrible,90,Willie Hill,307
2024-02-17,Facebook,Negative,#bad,66,Dawn Baker,514
2024-03-01,Twitter,Neutral,#awesome,35,Katherine Martin,76
2024-04-02,Twitter,Negative,#good,45,Raymond Stone,32
2024-04-23,Instagram,Neutral,service,26,Lisa Arnold,547
2024-01-09,Instagram,Positive,service,35,Donald Hall,48
2024-05-11,Instagram,Neutral,#awesome,98,Benjamin Gutierrez,716
2024-04-23,Facebook,Positive,experience,38,Barbara Gonzales,747
2024-01-26,Instagram,Positive,feedback,20,Heather Brown,903
2024-02-28,Instagram,Neutral,#bad,24,Benjamin Lambert,862
2024-03-08,Twitter,Negative,experience,19,Mark Bennett,70
2024-04-03,LinkedIn,Positive,product,13,Kenneth Melendez,182
2024-02-20,Facebook,Positive,experience,89,Christopher Taylor,101
2024-03-07,Instagram,Positive,product,61,Amy Sullivan,175
2024-04-25,Facebook,Negative,product,91,Brent Garcia,285
2024-02-04,Twitter,Neutral,#good,67,Amanda Graham,995
2024-01-22,LinkedIn,Negative,#bad,82,Traci Walls,418
2024-04-03,Facebook,Positive,#terrible,7,Michelle Gregory,997
2024-05-19,LinkedIn,Positive,#great,39,Don Perry,560
2024-02-19,LinkedIn,Neutral,#bad,13,Ashley Sullivan PhD,71
2024-02-25,LinkedIn,Positive,service,21,Amber Choi,123
2024-02-02,Facebook,Neutral,service,57,Jasmine Nelson,577
2024-02-08,Instagram,Positive,service,98,Christian Lee,891
2024-04-08,Facebook,Positive,experience,58,Bradley Mclaughlin,809
2024-05-12,Twitter,Positive,#awesome,94,Bradley Scott,903
2024-01-17,Instagram,Negative,#bad,52,Katie Ray,51
2024-03-27,Instagram,Negative,#awesome,32,Desiree Nelson,758
2024-03-27,LinkedIn,Neutral,#okay,56,Christopher Coleman,778
2024-04-29,Instagram,Negative,feedback,67,Tammy Baker,469
2024-02-22,Instagram,Neutral,#awesome,99,Craig Thomas,818
2024-02-09,LinkedIn,Positive,#okay,63,John Rodriguez,554
2024-02-18,Instagram,Negative,#okay,30,Dominique Martinez,476
2024-04-22,Instagram,Positive,#bad,23,Timothy Saunders,63
2024-04-19,Facebook,Positive,#okay,69,Heather Berry,600
2024-03-13,LinkedIn,Negative,#okay,2,Susan Malone,802
2024-01-08,Instagram,Positive,#good,70,Kelsey Johnson,947
2024-04-04,Twitter,Positive,service,29,David Thomas,366
2024-04-18,LinkedIn,Positive,service,58,Alicia Ellis,107
2024-01-11,Facebook,Neutral,feedback,13,Heather Collier,513
2024-03-31,Facebook,Neutral,experience,25,Christine Jensen,13
2024-05-24,Twitter,Neutral,#okay,5,Annette Hernandez,576
2024-03-11,LinkedIn,Neutral,#terrible,31,Dana Prince,295
2024-03-06,Facebook,Negative,#bad,92,Amber Wheeler,957
2024-02-06,Twitter,Negative,service,25,Andre Ball,825
2024-05-04,LinkedIn,Neutral,experience,9,Kenneth Randall,135
2024-01-05,Instagram,Negative,#terrible,35,Stephanie Morris,747
2024-04-24,Twitter,Negative,#bad,76,Russell Kennedy,78
2024-04-15,Twitter,Positive,#terrible,41,Joshua Donaldson,476
2024-03-06,Instagram,Neutral,#bad,77,Brian Chambers,508
2024-01-12,Instagram,Positive,#okay,99,Jordan Dudley DVM,313
2024-05-02,LinkedIn,Negative,#awesome,11,Brian Edwards,828
2024-04-02,Instagram,Negative,feedback,9,Jesse Schultz,888
2024-02-25,Facebook,Positive,#bad,94,Derek Stewart,434
2024-01-25,Twitter,Negative,product,46,Kevin Davis,531
2024-02-03,Facebook,Positive,#bad,2,Joshua Owens,147
2024-03-09,LinkedIn,Negative,#good,1,Kristen Morrison,102
2024-01-28,LinkedIn,Neutral,#great,20,Kevin Nichols,653
2024-04-10,Twitter,Negative,feedback,2,Sara Townsend,416
2024-05-06,Instagram,Positive,experience,94,Laura Sanders,650
2024-02-13,LinkedIn,Negative,experience,37,Jonathan Lindsey,746
2024-02-10,Facebook,Positive,experience,58,Ana Baker,181
2024-03-24,LinkedIn,Neutral,#bad,53,Timothy Macias,884
2024-02-11,Twitter,Positive,#terrible,33,Jason Gallegos,969
2024-05-12,Facebook,Positive,service,11,Melinda Johnson,258
2024-02-17,Facebook,Positive,#bad,78,Sherry Johnson,540
2024-03-27,Facebook,Neutral,product,95,Karen Johnson,524
2024-01-26,Facebook,Neutral,feedback,50,Christopher Pollard,110
2024-02-09,Facebook,Negative,#good,89,Kayla Collins,551
2024-03-22,Instagram,Neutral,#okay,23,Lisa Garcia,423
2024-02-07,LinkedIn,Positive,#okay,93,Robert Smith,638
2024-04-26,Twitter,Neutral,feedback,4,Dr. James Nelson,165
2024-03-19,Instagram,Positive,product,63,Mallory Stephenson,227
2024-04-21,Instagram,Positive,experience,71,Chelsea Cochran,120
2024-01-02,Twitter,Neutral,feedback,18,Susan Wall,840
2024-02-29,Instagram,Negative,#good,50,Jennifer Hoffman,768
2024-03-26,Twitter,Positive,product,85,Eric Hayden,996
2024-04-05,Instagram,Negative,#good,26,Patricia Brown,757
2024-05-21,LinkedIn,Positive,#good,61,Jo Park,351
2024-05-11,Twitter,Positive,#good,10,Anthony Sullivan,201
2024-02-12,Facebook,Positive,#okay,38,Todd Mcdowell,701
2024-02-24,Instagram,Neutral,#terrible,71,Valerie Wall,450
2024-02-05,Facebook,Negative,product,31,Molly Weaver,981
2024-04-26,Facebook,Positive,#awesome,97,Dr. Adrian Francis,938
2024-02-20,Instagram,Positive,#okay,34,Michael Gallagher,801
2024-03-24,Twitter,Negative,#bad,21,Edward Sweeney,312
2024-03-11,LinkedIn,Neutral,#terrible,17,Ashley Kirk,704
2024-01-29,LinkedIn,Negative,#bad,25,Robin Riley,223
2024-03-07,LinkedIn,Positive,service,41,Tammy Thompson,210
2024-01-22,LinkedIn,Negative,experience,49,Eugene Petty,652
2024-05-03,Facebook,Neutral,experience,96,Sarah Porter,646
2024-05-21,LinkedIn,Neutral,feedback,81,Emma Bond,581
2024-01-17,Instagram,Neutral,#good,69,Brian Anderson,579
2024-04-06,Instagram,Negative,#great,38,Corey Bailey,808
2024-05-23,Twitter,Positive,#good,81,Brittany Ferguson,335
2024-02-14,LinkedIn,Neutral,#great,54,Mr. Corey Barnes,879
2024-01-14,Instagram,Negative,#okay,98,Mike Ramirez,818
2024-03-11,Facebook,Positive,service,35,Alicia Williams,203
2024-04-04,Facebook,Negative,#bad,87,Adriana Perkins,830
2024-01-21,LinkedIn,Positive,#awesome,66,Sarah Li,249
2024-03-04,Facebook,Neutral,#great,74,Michelle Kelly,251
2024-05-24,Instagram,Positive,#good,4,Heidi Delacruz,49
2024-02-12,LinkedIn,Positive,feedback,59,Deborah Lopez,787
2024-02-15,Facebook,Neutral,feedback,79,Sharon Short,442
2024-05-14,Instagram,Negative,experience,27,Zachary Shaw,592
2024-02-25,Facebook,Neutral,product,44,Daniel Martinez,826
2024-03-27,LinkedIn,Negative,service,88,Shawn Guerrero,187
2024-03-20,Facebook,Negative,service,89,Amber Moore,653
2024-02-25,Twitter,Neutral,#great,28,Hector Miller,454
2024-02-16,Instagram,Positive,#great,81,Andrea Campos,131
2024-03-23,Twitter,Neutral,feedback,59,Richard Simpson,62
2024-02-01,Twitter,Positive,feedback,83,Abigail Calhoun,234
2024-04-07,Facebook,Neutral,#okay,68,Kelly Mills,609
2024-01-30,Instagram,Negative,#terrible,24,Melissa Hoffman,122
2024-04-04,LinkedIn,Positive,#great,3,Jay Morrison,729
2024-04-19,Facebook,Negative,experience,93,Alyssa Craig,26
2024-05-09,Instagram,Positive,#awesome,28,Claudia Stewart,86
2024-02-26,LinkedIn,Neutral,#terrible,62,Angela Lawrence,607
2024-03-02,Twitter,Neutral,experience,57,Audrey Scott,383
2024-03-11,Twitter,Neutral,#good,52,Patricia Kelly,236
2024-05-08,Facebook,Negative,service,32,John Williams,107
2024-04-10,LinkedIn,Neutral,#terrible,4,Lauren Davis,572
2024-04-21,Facebook,Neutral,#awesome,71,Charles Schroeder,757
2024-02-14,LinkedIn,Positive,#awesome,6,Scott Dunn,710
2024-02-12,Twitter,Positive,experience,8,Christopher Nichols,802
2024-01-05,LinkedIn,Neutral,feedback,31,Ryan Johnson,208
2024-02-12,Twitter,Negative,experience,77,Rebecca Baker,254
2024-02-13,Facebook,Negative,#good,96,Mark Young,433
2024-02-09,Instagram,Negative,product,76,Cheryl Martinez,856
2024-04-11,LinkedIn,Negative,#awesome,79,Carlos Perry,140
2024-02-10,Twitter,Positive,service,2,Miss Michelle Cook,812
2024-03-10,Twitter,Positive,#bad,14,Elizabeth Gray,40
2024-01-11,LinkedIn,Neutral,#great,90,Andrew Harris,358
2024-02-26,Instagram,Neutral,#awesome,88,Marcus Duarte,465
2024-03-12,Twitter,Neutral,#great,13,Katherine Singh,66
2024-04-05,Facebook,Neutral,#good,88,Sergio Chandler,861
2024-04-12,Twitter,Neutral,#terrible,67,Jesus Diaz,990
2024-04-20,Instagram,Negative,#awesome,70,Miranda Brewer,243
2024-04-24,Facebook,Positive,#good,29,Andrew King,402
2024-05-18,Facebook,Positive,service,7,Heather Myers,317
2024-03-19,Instagram,Negative,#okay,17,Ricardo Wiley,527
2024-05-03,LinkedIn,Negative,#good,50,Ana Lee,250
2024-03-19,LinkedIn,Negative,#awesome,59,Ruben Mccoy,664
2024-04-28,Instagram,Negative,service,31,Adam Jordan,984
2024-05-24,Instagram,Positive,service,29,Patricia Jones,10
2024-04-07,LinkedIn,Positive,service,44,Erika Welch,456
2024-05-08,Instagram,Negative,#good,19,Brian Rivera,784
2024-01-29,LinkedIn,Positive,feedback,53,Michelle Haley,38
2024-03-31,Twitter,Neutral,#terrible,12,Andrea Trujillo,385
2024-01-20,Facebook,Negative,product,15,Patrick Warren,604
2024-04-08,Twitter,Negative,#awesome,72,Brenda Foster,548
2024-02-10,Facebook,Neutral,product,62,Joshua Hughes,356
2024-03-06,LinkedIn,Neutral,#bad,84,Brett Browning,822
2024-04-02,Instagram,Neutral,feedback,11,Abigail Wong,962
2024-01-26,LinkedIn,Negative,feedback,12,Jennifer Moreno,969
2024-04-22,Instagram,Neutral,#terrible,10,Christina Lucero,237
2024-01-31,Twitter,Neutral,#okay,79,Rebekah Lloyd,472
2024-05-02,Instagram,Negative,experience,12,Brenda Mendoza,503
2024-01-21,LinkedIn,Neutral,#bad,88,David Peters DDS,963
2024-04-19,Twitter,Positive,#bad,78,April Mitchell,927
2024-02-29,Facebook,Neutral,service,21,Austin Bender,638
2024-01-19,Facebook,Positive,#terrible,38,Michael Bailey,617
2024-04-06,LinkedIn,Positive,feedback,100,Rachel Tucker,799
2024-05-16,Facebook,Neutral,#great,24,Dawn Hernandez,300
2024-03-28,Facebook,Positive,service,10,Lisa Walker MD,349
2024-01-11,Facebook,Neutral,#awesome,23,Anthony Joyce,17
2024-01-05,Facebook,Negative,product,73,Pamela Cook,785
2024-01-24,Twitter,Negative,#terrible,56,Tanya Combs,538
2024-01-05,Instagram,Negative,experience,44,Brandon Clark,38
2024-03-09,Instagram,Negative,#terrible,98,Kathryn Frazier,866
2024-01-16,LinkedIn,Negative,#great,11,Ashley Cooper,491
2024-03-30,Facebook,Neutral,feedback,71,Stacey Flores,400
2024-01-05,Instagram,Neutral,#good,49,Jennifer Ochoa,165
2024-02-26,Facebook,Positive,feedback,88,Stacey Kim,815
2024-01-30,Instagram,Positive,#okay,25,Kevin Hernandez,280
2024-04-19,LinkedIn,Positive,#okay,26,Tonya Edwards,601
2024-04-06,Twitter,Positive,#great,47,Christopher Campbell,343
2024-03-17,Instagram,Neutral,#awesome,83,Thomas Nolan,624
2024-05-24,LinkedIn,Positive,service,47,Joanna Lopez,361
2024-01-13,Twitter,Positive,#awesome,23,Cynthia Hardin,810
2024-03-23,Twitter,Neutral,#good,11,Sabrina Carter,324
2024-01-17,LinkedIn,Neutral,service,80,Rhonda Contreras,239
2024-05-02,LinkedIn,Neutral,service,69,Roy Walsh,282
2024-03-11,Twitter,Neutral,feedback,97,Stacy Cunningham,531
2024-04-16,Instagram,Positive,#good,59,Michael Mccormick DVM,141
2024-01-07,Instagram,Positive,#great,22,Zachary Lester,332
2024-01-26,Twitter,Negative,#okay,10,Melissa Henry,113
2024-03-29,Facebook,Negative,service,45,James Romero,171
2024-03-20,Instagram,Negative,#good,84,Martha Kim,778
2024-04-05,Twitter,Neutral,#terrible,62,Thomas Williams,496
2024-01-30,Twitter,Negative,#okay,20,Steven Henderson DDS,865
2024-04-22,Facebook,Neutral,#okay,84,Rodney Jones,485
2024-04-04,Twitter,Positive,#bad,44,Erin Holt,182
2024-04-26,Twitter,Positive,#bad,90,Ariel Miller,182
2024-02-04,Instagram,Positive,#okay,3,Diane Meyer,336
2024-05-17,Twitter,Positive,#okay,78,Crystal Carter,21
2024-04-19,Instagram,Neutral,feedback,22,Angela Knight,936
2024-05-01,LinkedIn,Negative,#okay,37,James Lee,969
2024-02-05,Instagram,Negative,#good,92,Jackson Wallace,458
2024-03-02,LinkedIn,Positive,experience,20,Samantha Chambers,213
2024-05-06,Facebook,Neutral,#bad,47,Sarah Lindsey,580
2024-01-17,Facebook,Neutral,#good,57,Walter Gallagher,34
2024-04-28,Facebook,Positive,feedback,36,Amanda Pierce,864
2024-05-24,Instagram,Positive,#terrible,23,Lisa Guzman,784
2024-04-30,Twitter,Neutral,product,66,John Hudson,380
2024-02-26,Instagram,Neutral,service,21,Elizabeth Whitaker,173
2024-03-20,Facebook,Negative,product,6,Samantha Schroeder,291
2024-05-08,LinkedIn,Negative,#terrible,76,Allison Huynh,807
2024-01-31,LinkedIn,Negative,#bad,71,Gabriela Pierce,616
2024-01-06,Facebook,Neutral,product,17,Christopher Mcdonald,480
2024-02-12,Instagram,Neutral,service,5,Crystal Willis,189
2024-03-27,LinkedIn,Neutral,#great,67,Joshua Gibson,29
2024-04-13,Facebook,Positive,#okay,86,Megan Hall,103
2024-03-27,LinkedIn,Positive,#good,13,Ann Bowen,939
2024-01-13,Twitter,Positive,#great,78,Maria Valdez,928
2024-04-10,Facebook,Negative,#great,21,Mr. Christopher Solomon,297
2024-04-22,LinkedIn,Negative,#bad,40,Crystal Walters,767
2024-01-22,Facebook,Neutral,#okay,41,Kathleen Holloway,927
2024-04-06,Instagram,Negative,service,97,Matthew Olson,640
2024-03-08,LinkedIn,Negative,product,100,Angela Larson,187
2024-01-08,Facebook,Negative,experience,21,Trevor Keith,32
2024-01-12,Instagram,Neutral,feedback,11,Mrs. Sarah Harvey,669
2024-03-02,LinkedIn,Negative,#terrible,18,Robert Lowery,931
2024-04-22,Twitter,Positive,#terrible,21,Jennifer Sutton,644
2024-01-17,Facebook,Positive,#good,28,Courtney Mcguire,133
2024-01-14,Twitter,Positive,#great,94,Laura Moore,20
2024-04-03,Twitter,Negative,#good,15,Christopher Whitaker,49
2024-03-21,LinkedIn,Neutral,#terrible,60,Gail Case,346
2024-04-06,Twitter,Negative,#terrible,25,Richard Davis,987
2024-01-25,Facebook,Positive,#bad,97,Antonio Hill,938
2024-02-28,Instagram,Neutral,#great,14,Jordan Torres,100
2024-05-17,Instagram,Neutral,service,63,Melissa Collins,575
2024-03-26,Twitter,Positive,product,22,Christopher Lara,89
2024-02-01,Twitter,Neutral,product,3,Kirsten Russell,294
2024-03-27,Instagram,Negative,feedback,41,Maria Hancock,677
2024-02-02,LinkedIn,Neutral,#good,90,Jasmine Rodriguez,770
2024-01-29,Twitter,Negative,#great,43,Molly Hamilton,511
2024-01-25,Instagram,Neutral,#okay,26,Timothy Montgomery,79
2024-05-15,Instagram,Negative,service,65,Margaret Chen,119
2024-04-10,Twitter,Negative,#good,47,Jacob Williams,464
2024-05-15,LinkedIn,Positive,feedback,25,Jeremy Cruz,793
2024-05-23,LinkedIn,Negative,#good,85,Kyle Lynch,315
2024-05-04,LinkedIn,Negative,#terrible,47,Jared Camacho,156
2024-02-24,Twitter,Positive,#terrible,32,Tyler Mason,233
2024-05-15,Facebook,Negative,#awesome,30,Timothy Santiago,984
2024-05-19,Twitter,Neutral,service,57,Darrell Richards,137
2024-04-25,Facebook,Positive,#terrible,32,Katherine Greene,41
2024-04-03,Facebook,Negative,#terrible,4,David Garcia,27
2024-02-18,Instagram,Positive,#okay,35,Olivia Lee,765
2024-03-30,Facebook,Neutral,#terrible,12,Danielle Acosta,312
2024-02-02,Facebook,Negative,feedback,54,Andrew Jackson,105
2024-04-19,Facebook,Positive,product,93,Christopher Marshall,573
2024-04-14,Twitter,Neutral,service,62,Annette Roy,17
2024-05-06,Facebook,Neutral,product,21,Troy King,39
